	股票	代码	最低	最低日	最高	最高日
0	中国宝安	000009.XSHE	14.78228103805914	2020-12-11	96.54668421083913	2021-06-15
1	南玻A	000012.XSHE	16.46973565918526	2021-02-05	94.02767825356192	2020-11-16
2	深康佳A	000016.XSHE	10.829820214140483	2020-09-28	93.18574565636968	2021-08-13
3	深科技	000021.XSHE	6.9845977601169835	2021-05-10	73.9780987103243	2021-06-10
4	深圳能源	000027.XSHE	16.82545335590126	2021-07-02	89.59877962447376	2020-12-28
5	国药一致	000028.XSHE	11.018629837776544	2021-07-29	80.05986969312852	2020-10-13
6	富奥股份	000030.XSHE	8.556983276617416	2021-07-30	88.65989285519329	2021-08-16
7	大悦城	000031.XSHE	7.0977315587858385	2021-07-27	88.86982815221948	2021-09-09
8	深桑达A	000032.XSHE	7.327910556350673	2021-04-28	96.26374786470885	2021-02-25
9	神州数码	000034.XSHE	11.815633919685084	2020-12-24	87.68994717147223	2020-11-12
10	中国天楹	000035.XSHE	2.906976744186224	2020-09-28	89.48387338680342	2021-02-26
11	中集集团	000039.XSHE	19.840318300374776	2021-02-05	98.70536828500622	2020-11-09
12	泛海控股	000046.XSHE	5.0220672040936165	2021-07-02	86.05783933230545	2021-09-08
13	深天马A	000050.XSHE	14.869211778968008	2021-05-07	87.67081823233153	2021-07-09
14	华锦股份	000059.XSHE	17.565637284663353	2020-12-09	95.12109782441216	2020-11-17
15	中金岭南	000060.XSHE	18.872822643531507	2021-09-27	89.95550801287567	2021-02-22
16	农产品	000061.XSHE	5.331400893697776	2021-02-04	92.29877246302034	2021-09-09
17	深圳华强	000062.XSHE	14.76770483226683	2020-12-28	91.25538126052294	2021-04-28
18	中兴通讯	000063.XSHE	14.693308870370572	2020-12-11	87.32401654243185	2021-08-02
19	中国长城	000066.XSHE	6.915629322268401	2020-09-28	92.693993289816	2021-01-04
20	华侨城A	000069.XSHE	9.4893694796624	2021-05-13	90.13341935894603	2021-02-22
21	盐田港	000088.XSHE	5.800075671177893	2021-02-01	92.05720515443357	2021-09-07
22	深圳机场	000089.XSHE	3.3116078759307044	2021-08-02	91.69642177243097	2021-09-07
23	天健集团	000090.XSHE	6.99484673349572	2020-12-16	85.52847249006092	2021-09-02
24	TCL科技	000100.XSHE	9.876543209876544	2020-09-25	93.24157440399108	2021-01-13
25	川能动力	000155.XSHE	16.769937174054547	2021-06-16	95.44705843632728	2020-11-18
26	华数传媒	000156.XSHE	11.502070565769088	2020-12-14	97.54535002832972	2021-09-10
27	中联重科	000157.XSHE	8.547098012450448	2021-06-17	96.86026196996539	2020-12-02
28	常山北明	000158.XSHE	9.986053830246846	2020-10-30	91.43074871216338	2021-04-20
29	申万宏源	000166.XSHE	13.447903801940171	2021-01-26	97.14707265611766	2021-09-07
30	东方盛虹	000301.XSHE	13.401548666242817	2021-03-10	94.03119166006421	2020-11-10
31	潍柴动力	000338.XSHE	17.262473026069728	2021-05-13	92.73565165516787	2021-01-13
32	许继电气	000400.XSHE	16.29859281731342	2021-06-16	89.59269511929733	2021-08-11
33	冀东水泥	000401.XSHE	8.148148148148238	2020-09-11	92.61077177359725	2021-02-22
34	金融街	000402.XSHE	5.928591693632626	2021-01-07	90.12232995877525	2021-08-31
35	派林生物	000403.XSHE	15.0704080126621	2021-06-25	88.54977193625331	2020-11-13
36	藏格控股	000408.XSHE	7.911115774918443	2020-10-21	93.40881057779013	2021-05-21
37	东旭光电	000413.XSHE	2.5906735751295855	2020-09-28	83.31522901017068	2021-07-09
38	渤海租赁	000415.XSHE	8.149550310502121	2021-01-07	90.20075704654276	2021-06-02
39	吉林化纤	000420.XSHE	7.033382499936863	2020-11-02	97.5437231161501	2021-02-25
40	湖北宜化	000422.XSHE	11.0819823642409	2021-01-14	95.50242139127818	2021-08-31
41	东阿阿胶	000423.XSHE	7.590801741707978	2020-12-25	84.30483120676035	2021-06-07
42	徐工机械	000425.XSHE	5.88866674898172	2021-06-17	88.62832518760433	2020-12-02
43	兴业矿业	000426.XSHE	7.077720699190664	2021-04-13	90.00535347075102	2021-05-10
44	粤高速A	000429.XSHE	6.802795395386497	2020-12-10	96.11657614046892	2021-09-13
45	晨鸣纸业	000488.XSHE	9.46721836242159	2021-06-18	91.85008267212022	2020-11-24
46	丽珠集团	000513.XSHE	11.911718415015372	2021-07-27	89.6240724241456	2021-04-01
47	国际医学	000516.XSHE	10.462181811280558	2021-07-13	94.45841520140347	2020-12-28
48	中兵红箭	000519.XSHE	15.285426332382158	2020-11-02	92.04164524782436	2021-05-11
49	柳工	000528.XSHE	11.336978171064999	2021-05-13	89.80556829515108	2021-01-13
